CO_IES,NO_IES,SG_IES,NO_MUNICIPIO_IES,SG_UF_IES,TP_CATEGORIA_ADMINISTRATIVA,QT_DOC_EX_DOUT,QT_DOC_EX_MEST,nome_ies_padronizado,total_bolsas_cnpq,ADC - Apoio à Difusão do Conhecimento,AED - Auxílio a Editoração e Publicação,APQ - Auxílio a Pesquisa,ARC - Promoção de Eventos Científicos,AT - Apoio Técnico a Pesquisa,ATP - Apoio Técnico em Extensão no País ,DCR - Desenvolvimento Cientifico Regional,DES - Desenvolvimento Tecnológico e Inovação ,DT - Produtividade Desen. Tec. e Extensão ,DTC - Desenvolvimento Tecnológico em TICs,DTI - Desenvolvimento Tecnológico Industrial,EPI - Bolsa de Treinamento - Programa ,EV - Especialista Visitante,EXP - Extensão no País,GD - Doutorado,GDE - Doutorado no Exterior,GM - Mestrado,IC - Iniciação Científica,ICJ - Iniciação Científica Júnior,IEX - Iniciação ao Extensionismo,IT - Iniciação Tecnológica,ITC - Iniciação Tecnológica em TICs,ITI - Iniciação Tecnológica e Industrial,PAV - Bolsa Pesquisador-Avaliador,PCI - Programa de Capacitação Institucional,PDE - Pós-doutorado no Exterior,PDI - Pos-doutorado Empresarial,PDJ - Pós-doutorado Júnior,PDS - Pós-doutorado Sênior,PQ - Produtividade em Pesquisa,PV - Pesquisador Visitante,SET - Fixação de Recursos Humanos,SWE - Doutorado Sanduíche no Exterior,SWP - Doutorado-Sanduiche no Pais
33,FACULDADE DE TECNOLOGIA DE SOROCABA,FATEC SO,Sorocaba,SP,2,52,72,faculdade de tecnologia de sorocaba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,FACULDADE DE TECNOLOGIA DE SÃO PAULO,FATEC-SP,São Paulo,SP,2,192,265,faculdade de tecnologia de sao paulo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
35,"FACULDADE DE TECNOLOGIA DE AMERICANA ""MINISTRO RALPH BIASI""",FATEC-AM,Americana,SP,2,38,64,"faculdade de tecnologia de americana ""ministro ralph biasi""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,FACULDADE DE TECNOLOGIA RUBENS LARA,FATEC-BS,Santos,SP,2,34,56,faculdade de tecnologia rubens lara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,FACULDADE DE TECNOLOGIA DE JAHU,FATEC-JAHU,Jaú,SP,2,34,39,faculdade de tecnologia de jahu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,UNIVERSIDADE DO ESTADO DO PARÁ,UEPA,Belém,PA,2,551,423,universidade do estado do para,126,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,76,30,0,9,0,0,0,0,0,0,0,1,1,0,4,0,0
40,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,Salvador,BA,2,825,470,universidade do estado da bahia,159,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,110,8,0,15,0,8,0,0,0,0,1,1,7,0,0,0,0
43,FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,UDESC,Florianópolis,SC,2,904,255,fundacao universidade do estado de santa catarina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,UNIVERSIDADE ESTADUAL DE GOIÁS,UEG,Anápolis,GO,2,657,409,universidade estadual de goias,109,0,0,0,0,3,0,2,0,2,0,0,0,0,0,5,0,0,73,0,0,12,0,0,0,0,0,0,1,0,11,0,0,0,0
54,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Campinas,SP,2,1768,19,universidade estadual de campinas,2844,1,5,14,0,20,8,0,0,7,2,73,0,3,1,483,0,277,805,649,0,48,0,27,0,0,0,2,37,6,368,1,7,0,0
